0	0.000000	0.000000	-0.005005
0.05	0.04108355	1.02956810705945	-49.2533307133259
0.1	0.0821671	3.97614551820754	-93.3274809831437
0.15	0.12325065	8.62715873790214	-132.227455809454
0.2	0.1643342	14.7700342706011	-165.953255192256
0.25	0.20541775	22.1921986207623	-194.504879131549
0.3	0.2465013	30.6810782928437	-217.882327627335
0.35	0.28758485	40.024099791303	-236.085600679613
0.4	0.3286684	50.0086896205982	-249.114698288383
0.45	0.36975195	60.422274285187	-256.969620453645
0.5	0.4108355	71.0522802895275	-259.650367175399
0.55	0.45191905	81.6861341380774	-257.156938453645
0.6	0.4930026	92.1112623352947	-249.489334288383
0.65	0.53408615	102.115091385637	-236.647554679613
0.7	0.5751697	111.485047793563	-218.631599627335
0.75	0.61625325	120.008558063529	-195.441469131549
0.8	0.6573368	127.473048699994	-167.077163192255
0.85	0.69842035	133.665946207416	-133.538681809454
0.9	0.7395039	138.374677090252	-94.8260249831438
0.95	0.78058745	141.386667852961	-50.9391927133259
1	0.821671	142.489345	-1.878185
1.05	0.8627545	142.567363928887	-1.91948317846061
1.1	0.903838	142.647030459997	-1.95839249076748
1.15	0.9449215	142.728246450348	-1.99491293692059
1.2	0.986005	142.810913756957	-2.02904451691996
1.25	1.0270885	142.894934236842	-2.06078723076558
1.3	1.068172	142.98020974702	-2.09014107845745
1.35	1.1092555	143.066642144508	-2.11710605999557
1.4	1.150339	143.154133286324	-2.14168217537994
1.45	1.1914225	143.242585029485	-2.16386942461056
1.5	1.232506	143.331899231009	-2.18366780768744
1.55	1.2735895	143.421977747912	-2.20107732461056
1.6	1.314673	143.512722437212	-2.21609797537994
1.65	1.3557565	143.604035155928	-2.22872975999557
1.7	1.39684	143.695817761074	-2.23897267845745
1.75	1.4379235	143.787972109671	-2.24682673076558
1.8	1.479007	143.880400058734	-2.25229191691996
1.85	1.5200905	143.973003465281	-2.25536823692059
1.9	1.561174	144.065684186329	-2.25605569076748
1.95	1.6022575	144.158344078897	-2.25435427846061
2	1.643341	144.250885	-2.250264
2.05	1.68442455	144.343323511162	-2.24969832627141
2.1	1.7255081	144.435730997157	-2.24875365504057
2.15	1.76659165	144.528091887423	-2.24742998630748
2.2	1.8076752	144.620390611397	-2.24572732007213
2.25	1.84875875	144.712611598517	-2.24364565633453
2.3	1.8898423	144.804739278218	-2.24118499509467
2.35	1.93092585	144.896758079939	-2.23834533635256
2.4	1.9720094	144.988652433117	-2.23512668010819
2.45	2.01309295	145.080406767189	-2.23152902636158
2.5	2.0541765	145.172005511592	-2.2275523751127
2.55	2.09526005	145.263433095762	-2.22319672636158
2.6	2.1363436	145.354673949139	-2.21846208010819
2.65	2.17742715	145.445712501157	-2.21334843635256
2.7	2.2185107	145.536533181256	-2.20785579509467
2.75	2.25959425	145.627120418871	-2.20198415633453
2.8	2.3006778	145.71745864344	-2.19573352007213
2.85	2.34176135	145.8075322844	-2.18910388630748
2.9	2.3828449	145.897325771189	-2.18209525504057
2.95	2.42392845	145.986823533243	-2.17470762627141
3	2.465012	146.076010	-2.166941
3.05	2.5060955	146.165564486881	-2.19092562545748
3.1	2.547179	146.255886665358	-2.20431325876155
3.15	2.5882625	146.346541173904	-2.2071038999122
3.2	2.629346	146.437092650993	-2.19929754890942
3.25	2.6704295	146.527105735097	-2.18089420575323
3.3	2.711513	146.616145064688	-2.15189387044362
3.35	2.7525965	146.70377527824	-2.11229654298058
3.4	2.79368	146.789561014226	-2.06210222336413
3.45	2.8347635	146.873066911118	-2.00131091159426
3.5	2.875847	146.95385760739	-1.92992260767097
3.55	2.9169305	147.031497741514	-1.84793731159426
3.6	2.958014	147.105551951963	-1.75535502336413
3.65	2.9990975	147.17558487721	-1.65217574298058
3.7	3.040181	147.241161155727	-1.53839947044362
3.75	3.0812645	147.301845425988	-1.41402620575323
3.8	3.122348	147.357202326466	-1.27905594890942
3.85	3.1634315	147.406796495633	-1.1334886999122
3.9	3.204515	147.450192571963	-0.977324458761549
3.95	3.2455985	147.486955193927	-0.810563225457485
4	3.286682	147.516649	-0.633205
4.05	3.32776555	147.549514981053	-0.961480211474697
4.1	3.3688491	147.595217775712	-1.25811757963627
4.15	3.40993265	147.652457589058	-1.52311710448471
4.2	3.4510162	147.719934626175	-1.75647878602003
4.25	3.49209975	147.796349092145	-1.95820262424222
4.3	3.5331833	147.880401192049	-2.12828861915129
4.35	3.57426685	147.970791130971	-2.26673677074723
4.4	3.6153504	148.066219113992	-2.37354707903005
4.45	3.65643395	148.165385346195	-2.44871954399974
4.5	3.6975175	148.266990032663	-2.4922541656563
4.55	3.73860105	148.369733378478	-2.50415094399974
4.6	3.7796846	148.472315588721	-2.48440987903005
4.65	3.82076815	148.573436868476	-2.43303097074723
4.7	3.8618517	148.671797422825	-2.35001421915129
4.75	3.90293525	148.76609745685	-2.23535962424222
4.8	3.9440188	148.855037175634	-2.08906718602003
4.85	3.98510235	148.937316784258	-1.91113690448471
4.9	4.0261859	149.011636487806	-1.70156877963627
4.95	4.06726945	149.076696491359	-1.4603628114747
5	4.108353	149.131197	-1.187519
5.05	4.14943655	149.181826016826	-1.27532946298251
5.1	4.1905201	149.235836172157	-1.3521171667037
5.15	4.23160365	149.292774611914	-1.41788211116357
5.2	4.2726872	149.352188482013	-1.47262429636213
5.25	4.31377075	149.413624928375	-1.51634372229937
5.3	4.3548543	149.476631096917	-1.54904038897529
5.35	4.39593785	149.540754133559	-1.5707142963899
5.4	4.4370214	149.60554118422	-1.58136544454319
5.45	4.47810495	149.670539394817	-1.58099383343517
